Batch 284, Loss: 2.0298
Batch 285, Loss: 2.0529
Batch 286, Loss: 2.0136
Batch 287, Loss: 2.0520
Batch 288, Loss: 2.0248
Batch 289, Loss: 2.0631
Batch 290, Loss: 2.0915
Batch 291, Loss: 1.9902
Batch 292, Loss: 2.0341
Batch 293, Loss: 2.0586
Batch 294, Loss: 2.0171
Batch 295, Loss: 1.9956
Batch 296, Loss: 2.0067
Batch 297, Loss: 2.0110
Batch 298, Loss: 2.0322
Batch 299, Loss: 2.0506
Batch 300, Loss: 2.0566
Batch 301, Loss: 2.1383
Batch 302, Loss: 2.0494
Batch 303, Loss: 2.0333
Batch 304, Loss: 2.0160
Batch 305, Loss: 2.0559
Batch 306, Loss: 2.0737
Batch 307, Loss: 2.0350
Batch 308, Loss: 2.0343
Batch 309, Loss: 2.0108
Batch 310, Loss: 2.0182
Batch 311, Loss: 2.0143
Batch 312, Loss: 2.0341
Batch 313, Loss: 2.0262
Batch 314, Loss: 1.9986
Batch 315, Loss: 1.9821
Batch 316, Loss: 2.0728
Batch 317, Loss: 2.0176
Batch 318, Loss: 2.0353
Batch 319, Loss: 2.0138
Batch 320, Loss: 2.0167
Batch 321, Loss: 2.0934
Batch 322, Loss: 2.0430
Batch 323, Loss: 2.0274
Batch 324, Loss: 1.9915
Batch 325, Loss: 2.0080
Batch 326, Loss: 2.0293
Batch 327, Loss: 2.0021
Batch 328, Loss: 2.0146
Batch 329, Loss: 1.9927
Batch 330, Loss: 2.0282
Batch 331, Loss: 2.0119
Batch 332, Loss: 2.0107
Batch 333, Loss: 1.9543
Batch 334, Loss: 1.9709
Batch 335, Loss: 1.9913
Batch 336, Loss: 2.0603
Batch 337, Loss: 1.9554
Batch 338, Loss: 2.0757
Batch 339, Loss: 2.0254
Batch 340, Loss: 2.0177
Batch 341, Loss: 1.9721
Batch 342, Loss: 2.0299
Batch 343, Loss: 1.9953
Batch 344, Loss: 1.9687
Batch 345, Loss: 2.0609
Batch 346, Loss: 2.0139
Batch 347, Loss: 1.9942
Batch 348, Loss: 2.0227
Batch 349, Loss: 1.9795
Batch 350, Loss: 1.9476
Batch 351, Loss: 2.0358
Batch 352, Loss: 2.0149
Batch 353, Loss: 2.0009
Batch 354, Loss: 2.0267
Batch 355, Loss: 1.9318
Batch 356, Loss: 2.0285
Batch 357, Loss: 1.9810
Batch 358, Loss: 2.0094
Batch 359, Loss: 1.9959
Batch 360, Loss: 1.9902
Batch 361, Loss: 2.0026
Batch 362, Loss: 2.0485
Batch 363, Loss: 2.0055
Batch 364, Loss: 1.9744
Batch 365, Loss: 1.9606
Batch 366, Loss: 2.0055
Batch 367, Loss: 1.9871
Batch 368, Loss: 1.9703
Batch 369, Loss: 1.9738
Batch 370, Loss: 2.0013
Batch 371, Loss: 2.0056
Batch 372, Loss: 1.9964
